name,lat,lon
Central Police Station Aba,5.1072,7.3686
Osisioma Divisional,5.08,7.35
Aba North Area Command,5.115,7.375
Aba South Area Command,5.1,7.36
Ogbor Hill Police Station,5.112,7.373
Ehere Police Post,5.109,7.368
Faulks Road Police Station,5.104,7.366
Ariaria Market Police Post,5.107,7.369
Ngwa Road Police Station,5.108,7.367
Uratta Police Station,5.09,7.4
Owerrinta Police Station,5.15,7.55
Aba Main Market Police Post,5.11,7.37
Ekeoha Police Post,5.106,7.37
Alaoji Police Station,5.12,7.38
Tonimas Junction Police Post,5.103,7.365
Ukwa Police Station,5.102,7.364
Ohafia Police Station,5.331,7.716
Umuahia Central Police Station,5.524,7.489
